sort_algo,input_size,num_comparisons
select,1,0
bubble,1,0
insert,1,0
merge,1,0
quick,1,0
select,1,0
bubble,1,0
insert,1,0
merge,1,0
quick,1,0
select,1,0
bubble,1,0
insert,1,0
merge,1,0
quick,1,0
select,2,1
bubble,2,1
insert,2,1
merge,2,1
quick,2,1
select,2,1
bubble,2,1
insert,2,1
merge,2,1
quick,2,1
select,2,1
bubble,2,1
insert,2,1
merge,2,1
quick,2,1
select,4,6
bubble,4,6
insert,4,3
merge,4,4
quick,4,6
select,4,6
bubble,4,3
insert,4,3
merge,4,4
quick,4,6
select,4,6
bubble,4,6
insert,4,3
merge,4,4
quick,4,6
select,8,28
bubble,8,22
insert,8,7
merge,8,12
quick,8,28
select,8,28
bubble,8,7
insert,8,7
merge,8,12
quick,8,28
select,8,28
bubble,8,28
insert,8,7
merge,8,12
quick,8,28
select,16,120
bubble,16,110
insert,16,15
merge,16,32
quick,16,120
select,16,120
bubble,16,15
insert,16,15
merge,16,32
quick,16,120
select,16,120
bubble,16,120
insert,16,15
merge,16,32
quick,16,120
select,32,496
bubble,32,486
insert,32,31
merge,32,80
quick,32,496
select,32,496
bubble,32,31
insert,32,31
merge,32,80
quick,32,496
select,32,496
bubble,32,496
insert,32,31
merge,32,80
quick,32,496
select,64,2016
bubble,64,2010
insert,64,63
merge,64,192
quick,64,2016
select,64,2016
bubble,64,63
insert,64,63
merge,64,192
quick,64,2016
select,64,2016
bubble,64,2016
insert,64,63
merge,64,192
quick,64,2016
select,128,8128
bubble,128,8050
insert,128,127
merge,128,448
quick,128,8032
select,128,8128
bubble,128,127
insert,128,127
merge,128,448
quick,128,8032
select,128,8128
bubble,128,8128
insert,128,127
merge,128,448
quick,128,8032
select,256,32640
bubble,256,32340
insert,256,255
merge,256,1024
quick,256,32450
select,256,32640
bubble,256,255
insert,256,255
merge,256,1024
quick,256,32450
select,256,32640
bubble,256,32640
insert,256,255
merge,256,1024
quick,256,32450
select,512,130816
bubble,512,130680
insert,512,511
merge,512,2304
quick,512,129942
select,512,130816
bubble,512,511
insert,512,511
merge,512,2304
quick,512,129942
select,512,130816
bubble,512,130816
insert,512,511
merge,512,2304
quick,512,129942
select,1024,523776
bubble,1024,523500
insert,1024,1023
merge,1024,5131
quick,1024,514799
select,1024,523776
bubble,1024,1023
insert,1024,1023
merge,1024,5269
quick,1024,367550
select,1024,523776
bubble,1024,523776
insert,1024,1023
merge,1024,5269
quick,1024,367550
select,2048,2096128
bubble,2048,2095918
insert,2048,2047
merge,2048,11285
quick,2048,2039880
select,2048,2096128
bubble,2048,2047
insert,2048,2047
merge,2048,11595
quick,2048,1428845
select,2048,2096128
bubble,2048,2096128
insert,2048,2047
merge,2048,11595
quick,2048,1428845
select,4096,8386560
bubble,4096,8382905
insert,4096,4095
merge,4096,24683
quick,4096,7907227
select,4096,8386560
bubble,4096,4095
insert,4096,4095
merge,4096,24923
quick,4096,6873057
select,4096,8386560
bubble,4096,8386560
insert,4096,4095
merge,4096,24923
quick,4096,6873057
select,8192,33550336
bubble,8192,33549208
insert,8192,8191
merge,8192,53737
quick,8192,29880208
select,8192,33550336
bubble,8192,8191
insert,8192,8191
merge,8192,53916
quick,8192,28388001
select,8192,33550336
bubble,8192,33550336
insert,8192,8191
merge,8192,53916
quick,8192,28388001
select,16384,134209536
bubble,16384,134202633
insert,16384,16383
merge,16384,116530
quick,16384,105759316
select,16384,134209536
bubble,16384,16383
insert,16384,16383
merge,16384,116605
quick,16384,104560464
select,16384,134209536
bubble,16384,134209536
insert,16384,16383
merge,16384,116605
quick,16384,104560464
select,32768,536854528
bubble,32768,536805073
insert,32768,32767
merge,32768,252624
quick,32768,339678183
select,32768,536854528
bubble,32768,32767
insert,32768,32767
merge,32768,252684
quick,32768,336809735
select,32768,536854528
bubble,32768,536854528
insert,32768,32767
merge,32768,252684
quick,32768,336809735
select,65536,2147450880
bubble,65536,2147427660
insert,65536,65535
merge,65536,547739
quick,65536,929278737
select,65536,2147450880
bubble,65536,65535
insert,65536,65535
merge,65536,547462
quick,65536,928021079
select,65536,2147450880
bubble,65536,2147450880
insert,65536,65535
merge,65536,547462
quick,65536,928021079
select,131072,4294901760
bubble,131072,4294781465
insert,131072,131071
merge,131072,1183719
quick,131072,2109674101
select,131072,4294901760
bubble,131072,131071
insert,131072,131071
merge,131072,1184099
quick,131072,2109742709
select,131072,4294901760
bubble,131072,4294901745
insert,131072,131071
merge,131072,1184099
quick,131072,2109742709
